sigEZlYCCX;eXqXSVHqJ9;mGieSjllCu;YL9MuJVmip;HpPMplBVBw;T8T3LVT2J1
H lI g6X fYOS DZb8;  7es 3lX Nr8;19;90;-89;-9.37
6s57 wYwiObXdYUN ;cCbJ;-47;88;55;-6.04
aj;A;19;53;-46;-9.6
bJtv V bj5e9SWM;Jk  NPO N7v;-88;-58;-17;6.63
E7itcozOjLq5 4x7y48;s XhyWjQ  nm0Dte G ;-3;-49;-26;-4.47
rT304i0QpNzKWSECVe; C j;-45;18;11;9.66
Wo3erzPHjH ;9FFXRIP5dJuZG;-61;-75;-12;-6.67
 5UQ oZ Ip MGmnib;4qIL Pt 7;-31;-41;25;9.38
l t1 FJH SLhJYU;BxMYbq8nl 4j  2DPiU;-100;-12;-13;5.18
8 pO  N4ZxMV 2N7gi;3 yc8g   kf1TF 5i ;-77;-65;21;-1.79
 tnzLxOh BX WK;sj3uQ ;62;29;-56;-5.46
vsY9ospI2 tHm;i2soYai tJH 3T;-12;1;21;4.54
 LP  UMnNeX;mBpEu F r j oAa U8;-77;-97;9;-9.13
QvZGy8E  VC U6iUYUW ;ZeP;-14;62;29;-6.61
  z;U4t;-26;-49;-16;-9.38
 OCGEzjBW TG1G;yJQsmYg;62;-62;-42;-9.28
 kt  pRt t Xf   ;N 1rcmwEE6fhvW;-95;28;-17;4.99
12 7fDh0z xcku ;C IFJU vZ D EW;21;74;36;-9.35
6nrw5 ; vud qkfgTElH hyR Q;11;-88;-100;-9.86
y o eY8uAqZO; 1qeMX 1 uD U 45;-81;-32;-66;-9.19
W   tVZ q KE;v OcFtjG;-56;69;5;7.53
Z4 ;37yqCYa0a5Tu e4JvEv;22;-28;81;-0.82
aihEMLi ;3 K;-79;-97;42;4.27
 Wrv4M;xJ e3oC itzsutWO6a;25;0;56;7.65
zHnQwHGh;mzJVsfWd C5P ;-98;-24;-58;-0.19
e;T;62;-28;88;-4.69
N  DgOA5SDn; jHl585h L N 9i u;-43;92;-67;1.74
iSqK1IBJLqTOAvoW N98;xbxdWar 0;-79;69;-84;5.42
oR   Hpi;n;52;-53;-92;5.32
OpqVhmQF8 ;e7Q6iEuqk xL1;-76;28;-24;-8.24
 PtqW1btj 38;  9s  93;-41;-1;35;-4.27
aH   R K1RX15;mg E34FeJfPeDm   c;21;96;-36;-8.78
D8yPTXuz 8b hRMy;R;72;-13;-54;2.79
y ;Gs2KW   guqxC CDdk;-12;69;-100;7.33
 M  oy1tZO;CD;85;27;-54;-8.03
u N s8l aEODR ;3b  zaWK J f;-98;-64;24;-4.69
lwF ;RdpS;40;98;-12;2.75
u KhQ;ZTY74 ;-93;27;88;-9.82
VSw1   ;S1AD  dH4ix2;66;-24;-94;-4.11
lsWfr R4Z;uP;-70;-68;-3;2.32
NQszU 9 wx V9cUWw f;eUPQA x FI vn;71;27;-68;-2.29
5iwIjR W; ;-26;-8;48;-2.66
wt mt0HVKI7g2w;FrHEZz1;62;-27;26;2.65
r8yo Js;dzLiNqEj mc  3Nn14r;-95;-60;-46;8.68
cf cGpfi  u m96;Mc V x m7Vx I64YU8;-94;54;-99;-0.13
 Y 3LXULYm;  H Wf x8nx;-100;-15;-16;-2.06
8XSXcb  5;PF;5;-75;-88;5.7
uvxtyrR CnMkjgsCwX;G3gUTO Ko y u;-25;-45;-89;3.14
7 HlWH a  Ia 3iykZc;1wMoISj Rhgf7;-68;-82;-69;-5.99
M;8P  dTmLnDIBi;-90;92;-95;6.69
 HW14;e P;62;65;49;1.23
r9qkJ Y  DVwK5;ng3AIwxk jv oA  ;-74;-95;47;-8.38
ZqanpvI;V ip H  Wm0N   JUO;-40;-45;42;-4.68
sPQ E e V  03 qPI5X;vG;-16;88;22;-9.53
lqCS 0N;kXekEdy;32;-28;-41;-2.7
 gv5EttmdcOI5  9yDUI;kO KjMwK7lLD;12;-18;-93;9.73
nBxs8A1VL ;54 am8imdGu NK ;21;45;37;3.88
cJAHXmh;AuJNwZK4s  FM 2JFVP;-63;89;88;3.85
A mi88  x b4 myn;  a;-98;74;21;7.08
 PWj5 xF q0QF4 ;f A;54;47;8;6.57
zWGA4G;6 a Ly d  KdJ5CxF4N;-46;40;83;-4.87
enV T2 1 w;DSkiY2p O s0q;-27;65;93;-1.43
7 wto R;X2  ;43;20;86;1.38
 uGZop2Jv c   H1 3c;21HU pyx;-52;27;-66;-4.77
todiz4sC7zQoqgjb; Ay8 yn3xhv VQS J;-45;-38;-26;-3.9
lAns;r5 XHxt P r3J  ;3;70;-88;-1.38
z tkl L;yozHh;62;-89;71;4.88
W mxUgK;haR48mp bhpUX2ugh;-63;57;-10;3.52
Ag6Vp43 z4cDGDu g; ;-45;-36;-32;3.64
XMH ukxKT;QTC8dP3 caE;89;-32;-19;7.33
1 Ne kYO;J mXI;32;-52;-92;9.07
s ALKB odHz 04; gscCfda;54;-69;-31;-7.27
epN; TFVK DQh Kr;-60;-48;-49;-4.26
Qh AU1n7v;EVWS IsdTplxh B;70;-6;82;6.18
sycWjS Aw;H VSv  YSYS8p7nJ   3;-100;-41;-52;0.94
 4rdVS9Jtz;M Qg 2 tf 3lnHI;39;-55;56;-5.62
f xpKAA MfGQ fLU zk0;HsIVhNmL9Lr;77;86;-74;-9.27
nQRW ;oBbjUMAJkd G f;38;-26;-25;3.68
HK zA2H y x;MB9tPGW fLAHRhkvzQIA;8;33;89;1.0
 O5;oUp;-73;0;-39;1.61
7J p J nP CPet; l cOKaOou;-21;86;-76;5.42
PLsq n Z8qB;j cz;-30;83;49;-8.33
 9XxEm l2 W9He;pN cM;12;-77;-22;4.42
ArY0m  jz; CbT 85r  e;-81;12;-79;-8.27
TlHn 0wQy;xVH TTKm;-58;-49;7;1.03
 Y L9lZ1oI;C;0;-9;27;8.73
ReZl5gVv92L kgaF;tN PkvJ;35;71;-75;6.68
  XN ;L1;-97;84;-68;3.42
pt oG; Diu22yPEYtN d ZSi;-43;-50;35;9.79
84S QRvF ; 5rd5  pm ;-83;-6;-69;-3.33
L V nO1XfHI Vyi90 L ;aOcn6sG;-10;-89;-76;2.32
mAyDmeQIIo z ;y G l30ai rkjl1a;11;48;-54;-8.38
K Q;h   ;47;81;55;1.01
f08f qI ysOrPOuW;M;-84;77;-32;-6.63
m7; kjZY jm ;16;-19;-28;6.79
aEyt;UHu d1 Q Ev;63;-38;-43;8.44
K;wHzrK3  H PR8yFr;35;-36;13;2.48
n ZMH Odxl  ;I 6E9kqD;-52;-89;67;-5.54
nXo0l 0 98uoqD l;51Cv;44;-19;29;-4.82
   lLz JGgm i;AMCLw IR;59;41;75;-6.72
E m U ETfSlHc4;8z2x;94;-88;-88;8.39
YC  FL   zZy;IgT 3R8aTz0kirv;-73;-34;19;-4.5
L f 082;r;49;-77;-81;-4.19
s0pnbWp wtZ;o7 Tufr ;-4;-13;-82;-9.35
 jL; ebNl;71;42;-69;-6.29
  M46UZd ;zVBRrFu;31;0;-33;-5.37
cM LYrtiNQzr rGop ; 372J glRy;-43;-33;0;-1.63
R0FHBR r3Id4;T0Q28Ib43  3eVgXX75;38;40;52;-4.6
NzZ r;  8KPK2 YbNnmX8OKxJ;53;-40;37;-7.75
eYFN  TNQmKvhU;e EAGOcZqb O7m D18o;34;25;-7;-9.53
kG2Qa ilf YjVL1chNY5;rX;-80;-51;-31;2.25
N;a6Q6  fHU;-17;28;-84;5.68
2Tjy I  4ysQWAURiLd1;xRB 6vy YMzmj6;61;-22;-10;-3.76
C6sKd Rxt5G vgJCP; RBsa 2zcj;-45;-7;4;7.01
q RO;CwY ep xeFG 7k IKz d;-87;-6;-28;-8.13
27G0 i LI   ;pmsx0 y Edlv ;-66;48;29;8.16
WT7liE2F ;XU;22;98;-55;9.88
VD8L6kd Pu ;V C85Rh K8jIH;-64;21;-1;-5.76
ptqundb09 ; G NETr80Tu l9X3;65;57;-70;6.28
W  Zg AxrnLXV8UaJYL ;MRxL4TDX h;42;-60;53;6.65
VL;rTm2 ZM2VK lT9P;-23;-41;-22;-9.24
z  Hr1Y Y2svl L6 ;pt CzZgyW q;21;30;96;-4.84
7W 1P58PIz9u  ;y  oxSF;67;74;-14;-5.27
wz7PNMygZwp s1yj3;q;-85;35;21;-8.35
WIJsj2B3V;owLcggmOmM 71x3yQRx;48;-78;52;9.95
VRaC H qHVL; G89;-30;64;99;-6.44
T JD pSU  BZD xI;Htt WdtGoSR9M;97;-98;27;9.28
SPNgrtBaC La XY;s4c3kpN6H3l  dEQVvZ;59;-26;58;7.14
 AlSdFY 8 g;My J6 5F8umIGwG2wR;28;-90;12;5.44
lLN4e n oIEqH77  ;513U amM3WSIll;55;-74;-43;-4.83
EA RpAeG do; fDUP5P   oJDM;-78;80;0;5.58
G8AVz g GV S  F4uOm;Pcr  6ZXt7i w MbkW;-94;80;-38;4.04
 QLm SBCw6QQBIV;mec  U 7fbE91;-75;12;44;6.87
 hn;jJ3QG 8G ;78;-29;52;-1.7
Mj7s w78tj;U ;-8;93;-71;4.45
 f6Im 5NuLoB   z B; 4r 7Oyq3T;-60;53;-88;-4.35
CQzQruI g   bRJ ; uz  CIWm;0;-41;-12;-3.41
EsDuVHd oXIyuBM FyXA;U jpqN9T B   F;72;-93;80;5.38
t S;KVS;3;-26;92;-8.4
r sV  G fC15jYQSM qf;ALH YZ;3;68;52;-2.32
5ZG;MtuW yxJ AYHG8  dOt;49;-16;37;2.39
 J ;j;-81;53;99;-2.37
dr0Q We6Ij IGzm rd; uWVcJL4D eB;-47;-94;-84;-3.5
NKruIZo2G6IdE7bxj0X ;UPY3ee9ME l;-69;-90;-44;8.79
o eFis ;kRnwBl;-92;61;33;-3.06
w P nCQHwP4z;cQfDRE;-87;75;-62;4.47
SUW; m2r;-96;-56;86;-0.49
U Gn tF t LPefE  ;  ;44;-68;71;-7.7
SeZg 2rN Rh566hcbL;mP m;-74;79;38;4.71
NmQv b;i OI SLia8N;-83;-88;76;-7.3
ZP3Oz r UdmY3p ;JguGWqXc8Pu Qt qMKK4;78;-54;49;5.84
oy hRfmh;2A9Bb um7LWOwQeuDW2;84;-40;100;-6.98
U a;fi B;-47;55;7;-2.13
OwPdmiM v67    3;n  UGh OIA4 ;-90;-16;97;-3.71
eUbe6BHCl FHT;O42PXu Qcb9ja8k;-43;-78;74;5.25
D u5dTzYD ; 0z n 8Q e11;-56;4;52;-2.39
Ds f5 Ra lmCIk ;OM5wQfl CpJa;30;-87;60;-4.18
 aH ukJ c  ;9nRNa7TCXYCI;-59;-78;79;7.92
da agNV ;D8y5;-39;78;74;1.51
Iz 5 bty2 Rf u;fQl DWe Z1d5JzBQ;10;-7;69;-3.97
41n  ;o;88;-61;-67;5.4
2cTH    p5mPKm QVf;  ;-36;-60;13;-8.05
1oTD;Sv bB t  sxb xNEu8Mw;71;-39;14;-8.06
MYT D6;EKjbCk;-4;24;-92;-0.11
P R1  iXzA prpDkXoE;  ;79;-23;-51;-6.06
 x;p ecE4 sY2xm R;33;34;52;-2.26
KYgJ JT6C4X;44IeGpu   MI TR q u;-70;-61;77;3.57
a X7r;SYo ba LKaDk;-31;-83;-40;8.41
pzw ;WYW;15;6;92;-8.03
cRBiLNOGgVeonWvgNu1d; SYw;-71;98;-36;2.26
0gvOq;v Z;-93;-46;94;-9.86
8 NIpkzeb6 n cQIFJz; zT5Hq;-80;100;30;-9.66
 3Gmv feKUnX dxOoqD4; PJqjN;-52;-73;55;1.49
rwSe;J CXY Kk 9 ;38;-66;86;-8.02
9zv PPbZK U;82;-63;-77;-88;-9.01
dvN sCX28txH   Rtb;bg LAa;-99;-83;-41;7.27
rNgb8B vAs Qme w;1Sbvm;18;41;62;-3.44
NiQ; a a4jv RZj5QzPnN v;-28;-13;-30;-0.5
FkT0 PJoC ; 5  rB;57;87;29;-3.2
 0JK;S 2 sZdv gy QF8vmYcc;-12;36;-17;3.87
 j n 5 5 r IQN Fk;NPvot M3uzM7 ty A;-12;-89;-82;4.92
G gPJ9 7WRkAGP0ypLh0;s 28Y L 1p;100;8;-82;4.21
9q;T  ;13;93;-69;-5.59
TrHCLMm;jj  ENS h x 46HZ;5;-46;-41;-4.57
hdDWmpJ6;c zF si;-99;29;61;1.98
3 05  6 i  1o  ;B3lKhUKgfS A3Ee;-81;-6;52;7.44
Y5wln oph tW;a  FW  G ;-87;12;-77;-0.7
2OC cmms;211 ;-59;54;-6;4.27
y;pJcL362OlQf0 BQ;87;7;21;6.78
Typvsft wUN AZ9 XY;l  pmdTRx d nW;73;-63;92;-8.31
pf;QnbHyVq 0bDB;-79;54;-90;5.83
e 59wD4puxpMfsCt;B2YZ7 vcCSd8B;-30;15;77;-1.32
WI6eBpppABLOhjME  H; Hw4xF9FW  yy  ;-73;-59;83;6.02
  H o0iMktmL7Hu QD7;FX;73;77;9;-4.66
VbXK dyOkqY TAsr ShS;Y9IBo f2kGNU;55;-42;86;-9.01
 FKQDsI3XdJza;b8 Z;17;1;-2;-2.26
qf7s O0qB5    4Yz6gB; i kd6 9POY;16;16;23;-9.1
fU E61iP00gNxcJ; aT hrgzf;1;-3;-56;-1.73
B9S I2Ks  K4w5V;71j;-47;-18;-83;1.4
NZAI ZPTo  XRAt;IM  1r8I7gTWOfU;11;47;12;9.09
bbjHCkuiW ;HMDs;2;4;-3;9.08
C; O g 7  fqE wZcw;69;85;93;-2.67
XoRhmDGWRV  DHTxaooT; LSxBmN x;-98;73;14;-7.85
 f ANWo6hovFcsmAwW ;a;-77;33;28;-7.64
7rnq ii;V3Ct  vH;-5;57;-88;8.78
F jEY8aTgTqF a;W 4 F qgtA w n;-25;-43;3;-3.06
kVYoi AopitRliel hb;oC4;-66;-69;29;-4.17
s ;3Y LumK PV3JrHlSR hw;-95;-5;-47;-2.42
v Mw; t28RCmm5 K9FGBzbq;-60;84;26;-9.55
xY MIB llAF53v W;wVM;81;-95;19;-7.03
ZFtMJuvs nc v1;jXsuWVejFS ahgtB;-91;-22;-20;2.65
42Z5  cwQ  bPb b;ZuldoJf7 3Wva0 C;50;-64;-35;-6.28
PKZ 9 hGK x B;lSpj7DB P  jX8ad;85;-61;20;-1.64
Afr;cloS3;-26;82;-35;-2.2
 ldpPO1FVBr S981w;OZ   Dh4 LDPjss Tv7;-13;-77;-88;3.9
E  6   Dw c TrfbMscY; 9sGFya Q0;-67;-91;23;-7.46
Bic  4hN  R  bXidz;  gAl7 rQK;-94;67;51;-6.59
p  1zH;kfa7by6vX;-59;-95;-16;0.92
w;p zJ 6hUS y9 ;0;-98;-78;0.7
6O 4h3k2sA riYK;r zIYV2Vqna IP;20;40;64;8.0
 WhSQ VRH;y  0LzMfZwdNcFLvQ;67;-93;-51;-8.37
kXNK KOJ   a;1V w;93;67;0;-8.26
 r k8HMO TW;xam5sf Ni;-82;58;97;-4.29
 11  JsR1Z  ;y3l30H9A   ggPRr7 ;30;9;35;-7.2
trFm QjJLV koI ;ne8HXtDB;-9;-36;32;3.16
23 ;Pz kyg;-40;50;-40;4.95
SoZp8u3L DO2fhC Ow76;M;-79;6;62;4.33
K2  xoVx2Rw;ECZ  sH3XEfs Xw DI8g;-62;-7;-43;-9.6
 W4i8a0 G; z xVR ;-74;93;32;-7.57
KaDmUuc jd;b  c IqkV YB;99;-22;67;6.48
YK Pcv ;ue;-24;28;-33;-1.67
Ef52vL6efgRaBiaZjo;jtewG1Pxu;-79;29;-43;8.63
6 NLR fzP; QOM YBqtmiG 9;-56;75;-92;-1.33
z iB7dF2s y2A;H37ez  un Gq;59;-85;77;-3.68
49Dck;gKnyA;12;24;65;-2.57
  MoCu VaI  YC65n 3;u;-69;-90;-99;8.05
 LSdQE3Gl ;DJcpoY B;16;-52;32;5.56
WQ gjVOO8g5bsD GihX;t7j  QkXKW1vS ihmn7;-54;23;22;2.29
 CR;uZ6lesqJJwTkCe ;92;65;88;1.68
jmIW  2m4vWUR  FT24o;f bYAYlS a BojEn  ;-81;-91;-44;4.87
lc1Y0iFb;lto6j0C q;-13;58;-83;7.91
IxQQaYdV7tnQSm 8yJ;Q x YA7mfih;-63;75;-9;-4.91
C M9JB  g ;fGeol nU87 4 ;-26;-88;-14;-8.42
0kqDVH6A; zO  GM  8Lhy6vfG;67;-44;26;2.37
E wuMKcjTKMwLAlyB7 ;ceDCeNfP;39;-34;-9;-3.83
QgqwBx I  SFhu1; ;51;-35;37;7.44
tC kb S8QLjD F8li 7;rZGb dxXZm;-32;-93;-100;-0.85
lek R;pp 6Tr 2bMGjO tlR;-74;30;-66;-2.91
Nuql2lZs ;0qvxNdxZNO  Y  ;80;-28;-33;-0.01
P eeeyfkEY3 xX;w sb hy88vqA3dtY ;-51;-5;-22;-2.01
1j  7Z;5fjo CR3y  RYO    1N;67;2;-6;-1.87
5fx;n ;-67;41;-90;-8.79
 4LpZdg SRqe UY;lGzmM G  8k3Q0;46;-13;77;0.89
I ; ;74;66;33;-4.76
6K1uJ;sGq;5;-33;38;-6.81
r qLOzD2Elnf;uZvMWk U  Y4Yheh;99;-49;67;-4.14
 Zd  U woU r;XYkLph U;-66;-16;51;0.17
 aK;l PF 5i0IL DZ;-1;-14;77;8.54
  i sZKY;E3  kT;40;11;74;4.54
Z o;38l Y 0;-92;-71;88;-9.11
DV;  j e7Q0 Z wDC  ;-73;56;0;0.44
v ;JXDETKtOJz4PEB2;-83;-39;-52;2.08
efa D;Ps3 ;10;65;-76;-3.5
H; dum Sc6ll  9oB;-49;4;33;-4.82
 J lS5  O Lp JMV; uT6 wCLv Py;-51;-37;13;-2.68
J; f;75;66;-12;0.46
Q;AlwknQ oo1;-54;-9;-21;4.22
6z; ObS tzAbN;-89;96;39;-5.75
 K5i;hHPK;79;95;5;-0.86
x  2;T;-29;-9;-5;-6.92
iVWGW 1pnM3ef;a 4puhFM iX 8ObNc Y;78;-77;-10;0.02
Z 2Z  ;g;43;-82;-55;-5.83
f KED 38jb;l8I7;-80;59;-77;6.33
 mp v 0RG;n4 mT ;70;-53;-49;-1.65
sjY8Sg9Ef Y  ;jluzO 2Ho5V;21;-72;82;-1.79
JnU9k D5d;3 bf;28;19;-9;-9.48
8vH0GyqOdXWKPnQ ;N K3v2;-80;77;-14;-2.96
qEvnq HQ7 AD MkK Nh;sOo   CG XbNU cYDAp;60;62;59;-1.23
 z x108 ; 24FvFA;-99;5;100;-6.86
  ayxP AXL ;PHO  ACcamxuCV ac;-25;7;-57;-2.68
 Pou o  ;PEUbYWqopJnAH 1B5e ;-90;-37;4;1.39
cklE9JvWkEW45W23Hhg;aR Jj q myYeAWK9;33;-54;70;9.79
wRezkVO 91MV 9; baY 1;92;-37;-39;6.95
i DK B0;BhRnaGpFEW ;6;94;-65;1.33
qLd;5Sy9FXvHY;-31;84;61;-1.51
JAlCo5hz;6cOen oc qj;84;-39;66;3.06
JawB 83;lRn a  TO7EaV;57;31;-62;-2.06
7zIHmsYEOcLSCUhf0R;zZ ;-19;-13;-60;1.81
q cTB gXEeJfx i  j;HelKdaOYn6 k dy   ;-78;14;-35;5.72
N S;ZTY9Ui JfAObF;58;3;40;-7.21
bB e  m Y;nqil ;-24;-73;65;0.74
Ca jp xt jQ;sWs 5nr8NMX0L;-82;-55;48;9.35
 apc AdWpp;klO5tbubzKH7QIuJJ;32;11;-94;-9.69
C  ZjC; MRq T ujidO1 QcR;4;50;93;1.47
GO;Ay iefc0QfT c  o R;24;-59;92;6.45
s7fUtL; ;-31;73;32;-5.88
t;sE6hWg;-100;55;-8;8.58
ZAR 4Q;MNhu Cak6;0;-34;90;-4.4
HlqHA4NB9tzd2i FiX;8Jdl7Yy;83;24;21;-6.8
 iy22fwhQhTOpE D;hMLEHRjMe  K TJWs;58;-9;-48;2.74
t2kvTeRbsL1;efjV5KE T;6;91;-47;5.9
wHgjB; mb q 7tKunJ8Y;-63;60;-2;8.32
LkTC  A bQ9qgV7X  ED;hWnELa  hzpFB5;76;-98;-20;-8.88
OzaJ0tCP8Er;A3 XP2emA;55;75;-29;1.93
A Oj1ecN9rXQ P;zbXDz 0zlId ;83;12;27;-2.97
0;fZ4 P9aA qV5a6Wc;-60;2;-61;-5.14
Tkpin;Yjtf5;13;-70;7;-7.84
fv W4rf MMe4I;6YN  y Ie  rm 5k9;2;-4;-40;-4.75
tTGo6 bt21UMFB;mfp  f4Sncv ;-81;26;-70;0.03
aiz EM 2uj;W6;1;33;43;0.08
ETbfo9cj;kk 01NG9s5CiS14Kha;-23;-21;68;-0.24
pfj  sC;5Ymq0;58;-25;62;-6.22
YB;G6uVxtxEAJ63;-93;55;44;-4.86
uz FFU u;ExO2v;-47;88;83;9.25
 ;z;-4;27;-68;-1.04
J ugc4zqf T 8  U bq ;T0h PT  dkC;39;46;6;6.46
M 53dzoH 3UuFrO;XGG;32;-83;-95;6.23
yUwQXW2;BTJppcN ;6;-54;40;-4.07
 xnBO Z6Eue14vw2hlHW;RO 95 s ;33;62;-12;-4.09
CW;L;36;-55;-68;-9.0
 r Rd5 M93iV7 6;q3s ckxdw 8g;47;-9;72;-4.64
 U; gpOixdwRP5bmyg U;21;-30;-46;3.31
JRs4c4 NFaB;zp0 Zu9kB 0 ;65;-16;-50;-6.63
EI0Qb1yXq;SZn;88;-78;-22;5.51
 aKs;Y d3SR uU ;57;-52;-73;4.7
w mS9HaraLEwv ;YsDGCeF4i  5uiP8n;11;74;-36;-6.46
xXPrm  9u4M J ; A9;83;53;24;8.4
aG yIaA;  1 lvchhomlOaW;35;89;-23;0.71
 TPJM SOINbd2;nh hchXnGtHOP6;-9;-23;-38;-3.38
VMWU K   4EhkjOV9;1j w5M FF ;96;46;28;1.85
IjXtN   8X;GaD64ZFjoKZUh;33;74;-9;-6.69
Rl x7 9e;PMtr;-1;-6;-38;-0.64
8 ;C9h   fc 7N;71;64;-68;-2.67
cCsBmL AGxWGL; vyw sme4hRp;35;1;-59;2.46
 f9r BAI R; Ovjn;77;-85;-72;5.04
Qdh7Bruv;NpRmT3A8ePg B ;-80;82;25;7.29
   Cn72 kZpRG6EQ;9 yO;19;97;74;-1.26
S2MW h88YLJW;7d8Owh dvsi;-2;-14;97;7.08
fr4 72G3Ft; t CfV nKa S;7;92;-1;2.64
Kt;TL3cT;-29;87;18;-6.11
 dbP hO71;k yiG t;-41;10;41;-7.06
89C; XVb  AswAjrUS;10;28;-11;6.69
nWU  ATzzRk 58 ;lr5PE;21;67;-47;6.84
4KakI;42  ;15;67;56;-7.64
saa E YLr1V;2neA rlx dFHMLs  ;23;-37;22;2.36
t9Y L MYt  eTb D; J G xAP3 B;73;13;-30;9.1
g LS;ZkSPjc2W;15;46;-43;-0.02
I;PzDwTa;25;-16;-81;6.24
 ; P qtdm7z h yGT;19;-80;91;0.89
v M  hV  HM ;VsPn7YXRYx 5 RqF  a;-5;-25;-91;-9.13
PSqa KFgjEKlOpYg6;P;-47;83;50;-0.86
 aMqbvtJ3H mG;t ;-6;38;-87;2.8
0VprG2;C1W dh RTZ  r zdv;87;-17;-100;-8.29
1pw 6HMBp 7QCE nt; PMMTZJ61nGeswILY q ;-1;8;-35;-1.21
K6  1h 1ZoSes1;wIySfU ;-35;-61;64;-2.59
 ejkB; nMxr;-5;-41;-75;-1.33
bQ CQVsQ cLpW YmYh;HXsb7fIEjR ;-3;71;66;8.76
MoRqrayrQ r7b aIgo ;  3g;-37;94;97;-2.09
P 27aRTwi;ms3m   U64PW C8biP;26;38;89;-6.42
G  Y; k3ZdE8J nDDflo cg  ;-15;98;-55;7.18
YS7uP l kXhk; wg2;-1;34;-32;-8.49
0 gsUlhK ;e p ZPo ZAaued1mu 2;-93;24;-45;-3.53
6 p8V ; KQq i  Z4;68;-33;-77;9.42
